,ACAPULCO,CHETUMAL,CHIHUAHUA,CD.JUAREZ,DURANGO,GUADALAJARA,GUANAJUATO,HERMOSILLO,LA PAZ,MANZANILLO,MATAMOROS,MERIDA,MEXICO DF,NOGALES,NVO.LAREDO,OAXACA,PIEDRAS NEGRAS,PUEBLA,QUERETARO,SAN LUIS POTOSI,TAMPICO,TAPACHULA,TIJUANA,VERACRUZ,VILLAHERMOSA
ACAPULCO,,1149,1151,1384,809,590,474,1474,2921,743,829,1209,247,1683,968,408,1085,309,385,510,540,824,2040,510,794
CHETUMAL,1149,,1760,2056,1462,1233,1121,2117,3592,1424,1291,277,900,2239,1458,792,1590,922,1038,1154,967,780,2668,935,355
CHIHUAHUA,1151,1760,,233,441,711,721,1194,2523,913,709,1839,904,1356,651,1223,644,982,768,641,793,1634,1742,1181,1434
CD.JUAREZ,1384,2056,233,,574,944,954,1427,2858,1148,942,2082,1137,1599,884,1458,877,1215,999,874,1071,1911,1975,1401,1701
DURANGO,809,1462,441,574,,373,378,753,2182,574,583,1273,561,925,513,882,518,639,423,298,541,1297,1302,825,1097
GUADALAJARA,590,1233,711,944,373,,187,884,2313,202,628,1268,332,1058,620,653,698,439,216,220,464,1069,1433,624,869
GUANAJUATO,474,1121,721,954,378,187,,1071,2504,389,538,1156,221,1243,607,547,685,305,83,130,374,957,1620,490,757
HERMOSILLO,1474,2117,1194,1427,753,884,1071,,1429,1015,1338,2152,1217,141,1278,1565,1271,1323,1107,1051,1294,1953,549,1508,1753
LA PAZ,2921,3592,2523,2858,2182,2313,2504,1429,,2445,2144,3638,2985,1391,2085,2995,2700,2732,2538,2480,2724,3448,905,2337,1080
MANZANILLO,743,1424,913,1148,574,202,389,1015,2445,,829,1458,524,1187,822,792,900,602,414,422,568,1245,1564,787,1060
MATAMOROS,829,1291,709,942,583,628,538,1338,2144,829,,1335,597,1508,216,898,475,638,533,408,308,1175,1885,538,936
MERIDA,1209,277,1839,2082,1273,1268,1156,2152,3638,1458,1335,,935,2324,1497,838,1615,857,1073,1199,1011,825,2700,699,399
MEXICO DF,247,900,904,1137,561,332,221,1217,2985,524,597,935,,1417,740,321,818,78,138,253,291,738,1765,253,536
NOGALES,1683,2239,1356,1599,925,1058,1243,141,1391,1187,1508,2324,1417,,1450,1737,1443,1495,1279,1223,1487,2153,511,1630,1953
NVO.LAREDO,968,1458,651,884,513,620,607,1278,2085,822,216,1497,740,1450,,1027,470,798,602,477,467,1337,1827,798,1098
OAXACA,408,792,1223,1458,882,653,547,1565,2995,792,898,838,321,1737,1027,,1139,254,458,584,592,416,2114,252,137
PIEDRAS NEGRAS,1085,1590,644,877,518,698,685,1271,2700,900,475,1615,818,1443,470,1139,,897,680,555,604,1474,1819,935,1225
PUEBLA,309,922,982,1215,639,439,305,1323,2732,602,638,857,78,1495,798,254,897,,218,342,331,559,1871,185,458
QUERETARO,385,1038,768,999,423,216,83,1107,2538,414,533,1073,138,1279,602,458,680,218,,126,367,874,1407,401,574
SAN LUIS POTOSI,510,1154,641,874,298,220,130,1051,2480,422,408,1199,253,1223,477,584,555,342,126,,244,399,1599,527,800
TAMPICO,540,967,793,1071,541,464,374,1294,2724,568,308,1011,291,1487,467,592,604,331,367,244,,851,1843,311,610
TAPACHULA,824,780,1634,1911,1297,1069,957,1953,3448,1245,1175,825,738,2153,1337,416,1474,559,874,399,851,,2501,539,428
TIJUANA,2040,2668,1742,1975,1302,1433,1620,549,905,1564,1885,2700,1765,511,1827,2114,1819,1871,1407,1599,1843,2501,,2057,2202
VERACRUZ,510,935,1181,1401,825,624,490,1508,2337,787,538,699,253,1630,798,252,935,185,401,527,311,539,2057,,298
VILLAHERMOSA,794,355,1434,1701,1097,869,757,1753,1080,1060,936,399,536,1953,1098,137,1225,458,574,800,610,426,2202,298,
